"Animat","Day","Location x:","Location y:"
"Animat: 54","Action:back"
"Animat: 74","Action:back"
"Animat: 1","Action:back"
"Animat: 90","Action:back"
"Animat: 30","Action:back"
"Animat: 36","Action:back"
"Animat: 5","Action:back"
"Animat: 57","Action:back"
"Animat: 23","Action:back"
"Animat: 45","Action:back"
"Animat: 49","Action:back"
"Animat: 62","Action:back"
"Animat: 13","Action:back"
"Animat: 92","Action:back"
"Animat: 98","Action:back"
"Animat: 21","Action:back"
"Animat: 38","Action:back"
"Animat: 51","Action:back"
"Animat: 53","Action:back"
"Animat: 20","Action:back"
"Animat: 41","Action:back"
"Animat: 93","Action:back"
"Animat: 6","Action:back"
"Animat: 32","Action:back"
"Animat: 61","Action:back"
"Animat: 85","Action:back"
"Animat: 40","Action:back"
"Animat: 63","Action:back"
"Animat: 11","Action:back"
"Animat: 27","Action:back"
"Animat: 95","Action:back"
"Animat: 43","Action:back"
"Animat: 100","Action:back"
"Animat: 44","Action:back"
"Animat: 52","Action:back"
"Animat: 80","Action:back"
"36"
